id,Job Title,Education,Experience,superlative_score,text_inconsistency_score,reciprocity_score,timeline_inconsistency_score
10,OPERATIONS MANAGER,"Education
2003
Bachelor of Professional Studies : Computer Information Systems DeVry Institute of Technology ï¼​ State Computer Information Systems
1989
Associate : Applied Science - Business Management and administration Kingsborough Community College ï¼​ City , State Applied Science -
Business Management and administration
Skills
Adobe products, Photoshop, interpersonal and communication, oral, Credit, critical thinking, resolve customer concerns, client, clients, database,
decision-making, delivery, documentation, due diligence, Employee relations, senior management, fast, focus, Front Office, functional, funds, hiring,
Illustrator, investments, legal, management reporting, meetings, Excel, Money, Microsoft Office, PowerPoint, SharePoint, Word, MIS,
organizational, page 2, performance management, policies, problem solving, processes, improving processes, Quality Assurance, Real Estate,
sales, self-starter, Spanish fluency, time management, written
 ","OPERATIONS MANAGER
Summary
Experienced client service professional accustomed to managing teams functioning in a fast-paced environment in support of multiple products
across various business units. Proficiency in Adobe products (Photoshop, Lightroom, Illustrator)
Spanish fluency, oral and written
Experience
02/2010 to 08/2014
Operations Manager Company Name ï¼​ City , State
Managed a team of four client service officers responsible for day-to-day operations and onboarding process.
 Directed and supervised the daily activities of the teams with primary focus in enhancing the client's experience, mitigating risk, and
identifying areas of improvement.
 ",0.62561613,0,0,0.028571429
11,BANKING RELATIONSHIP SPECIALIST,"Education
Associate of Science , Inter Social Behavioral Sciences 2016 Los Angeles Southwest College ï¼​ City , State , United States
Received certificate in Fingerprinting.
 ","BANKING RELATIONSHIP SPECIALIST
Summary
Highly enthusiastic customer service professional with 7 years of client interface experience. Experience
Banking Relationship Specialist Jul 2005 to Sep 2011
Company Name ï¼​ City , State
Customer Assistance Worked with company systems such as Live Support and diligently completed all assigned tasks, working overtime as
needed.
 ",0.6816505,0.353047645,1,0.314285714
12,PARTNER ACCOUNT MANAGER,"Education
M.S : Information System Management Coleman University City , State Information System Management
Masterof Business Administration (Marketing) Symbiosis International University
Accomplishments
Received Thanks award for Best performer for two consecutive Months(HSBC).
 ","PARTNER ACCOUNT MANAGER
Executive Summary
Over 6 years of customer facing management experience in managing Healthcare IT and Banking industry. SalesForce CRM
VISIO
Professional Experience
Partner Account Manager 04/2014 to 08/2014
Company Name
Partner portfolio and revenue management.
 ",0.5866273,0,0,0
13,HEALTHCARE RECRUITER,"Education
DIPLOMA : Liberal Arts Saint Leo University , City , State Earned 42 credit hours - general studies Liberal Arts
Princess Anne High School , City , State
Skills
administrative skills, admin support, benefits, benefits administration, interpersonal, credit, client, hiring, HR, Insurance, interpretation, Excel,
MicroSoft Office programs, PowerPoint, MSWord, processes, Radiology, recruiting, recruitment, staffing
 ","HEALTHCARE RECRUITER
Professional Summary
A highly ambitious, customer service oriented business professional, with experience in human resources, customer service and administrative
support. Skills
Team leadership experience
Excellent interpersonal, HR and administrative skills
Data management skills
Intermediate experience with MicroSoft Office programs
Strong verbal communication skills
Motivated team member, who understands the value of providing accurate, professional,
Adept at client needs assessment and
admin support
analysis
Work History
April 2000 - Current Healthcare Recruiter Company Name |
A contingency, clinical staffing firm, assisting medical professionals such as RNs, Radiology Techs, Physical Therapists, Radiation Therapist,
and Pharmacists with obtaining permanent employment opportunities nationwide.
 Analyzed employment-related data and prepared required reports.
 verified that employment termination paperwork was completed.
 March 1990 - February 1997 Employment and Staffing Representative | Company Name | City , State
Coordinated recruitment and staffing services for both salaried and union employees for the state's largest utility company.
 verified that employment termination paperwork was completed.
 ",0.14437152,0,0,0
14,FLOATER/TEACHER,"Â
01/2015 to 05/2015
Physical Education and Health Teacher Company Name ï¼​ City , State
As the Physical Education teacher, I taught 60 minute Physical Education classes to kindergarten, first, third, fourth, and fifth grade students.
 Along with Physical Education, my classes also included anatomy (muscle and bone) and nutrition.
 As the Health Education teacher I would teach 60 minute classes to third, fourth, and fifth grade students. As a Children's Fitness Instructor I taught physical education and nutrition classes to children ages 18 months to 5 years old. Â
Education
2008
Bachelor of Science : Education - Majoring in Physical Education University of New Mexico ï¼​ City , State
2005
New Mexico State University ï¼​ City , State
Volunteer Activities
Jazzercise Balloon Park - On a volunteer basis, I will supervise children in the childcare room as their parents participate in a 60-minute jazzercise
class in the room next door. ","This New Health class was for grades 3-5.Â
Professional Experience
03/2015 to Current
Floater/Teacher Company Name ï¼​ City , State
Work with/teach children from ages 6 weeks to Pre-K. Â
Enforce rules for behavior and procedures for maintaining order among classes.
 ",0.6087058,0,0,0
15,FINANCE AND OPERATIONS MANAGER,"Education
Master of Business Administration (MBA) Johnson and Wales University - City , State
Bachelor's In Business Administration (BBA) : ","FINANCE AND OPERATIONS MANAGER
Experience
Finance and Operations Manager , 07/2017 to Current
Company Name â€“ City , State
Brought on board to centralize progress in district.
 Work History
Finance and Operations Manager , 07/2017 to Current
Company Name â€“ City , State
Brought on board to centralize progress in district.
 ",0.5505924,0.461529947,0,0
16,PHLEBOTOMIST,"Administrative Assistant , 01/2005 to 01/2008
Company Name â€“ City , State
Processed loan applications assist clients with their requirements to obtain loans Performed various administrative duties ,Verified
employment for credit applications Processed payroll for staff ,answer payroll questions, explain benefits, and insurance processing
Develops administrative staff by providing information, educational opportunities, and experiential growth opportunities.
 Maintains professional and technical knowledge by attending educational workshops; reviewing.
 Education
MBA : Healthcare Administration Management Healthcare Administration , Current
American InterContinental University - City , State
Healthcare Administration Management Healthcare Administration
Skills
administrative, approach, AS400, benefits, clerical, Computer literate, credit, clients, excellent customer service, diagnosis, insurance, Excel,
Outlook, PowerPoint, Windows Applications, Microsoft Word, Nursing, organizational, payroll, personnel, phlebotomy, policies, problem solving,
problem-solving skills, quality assurance, quality control, receiving, receptionist, safety, secretarial, workshops
 ","Skills
Phlebotomy knowledge Sharp critical thinker
HIPPA compliance Manual dexterity
Data and statistical analysis Lab testing and reporting
Blood bank background Lab equipment maintenance
CLIA & OSHA compliance Trained in HIPPA compliance
Work History
Phlebotomist , 04/2013 to Current
Company Name â€“ City , State
Performs aseptic venipuncture procedures to obtain venous and capillary blood samples for analysis in order to obtain data, which may be
used in diagnosis, monitoring and treatment of disease.
 ",0.7820544,0.786128626,0,0
17,FINANCE MANAGER,"Education
Bachelor of Science : Accounting , 1966 University of Albuquerque ï¼​ City , State GPA: Graduated Cum Laude Accounting Graduated Cum
Laude
Skills
Accounting, general accounting, accounts payable, accounts receivable, Auditing, budgets, budget, contracts, controller, CPA, Financial,
Government, grants, home office, Director, Managing, materials, Office, negotiation, negotiator, OSI, payroll, personnel, Prime, proposals,
proposal, proposal preparation, purchasing, reporting, Sales, supervisor, supervision
Professional Affiliations
American Legion Department of Nevada Children & Youth Chairman. ","FINANCE MANAGER
Summary
Assist an organization that can benefit from my extensive experience in Accounting, training auditing, contract bid preparation and negotiations.
 Over forty years experience in accounting including Controllerships, Accounts Payable, Payroll, Government Contracting, Auditing, Cost
Accounting, Budgeting, and Subgrant Contracting. Experience
Finance Manager
April 2004 to June 2011 Company Name ï¼​ City , State
Responsible for development/monitoring program budgets; Plan and organize program accounting, review and evaluate costing reports,
budget status, leases, contracts, and sub grants to identify problems/trends.
 ",0.33752847,0,0,0
18,SUPPORT & NETWORK SERVICES INTERN,"Company Name Information Technology Lead Intern | City , State | June 2012 - June 2013
Worked with director on minimizing Windows XP machines and migrated to Windows 7 based on Spiceworks solution
Contacted Central IT when appropriate with regards to diagnosing distance education connections and supporting equipment
Deployed re-imaged hard drives or newly acquired assets for classrooms or professors based on priority scheduling
Assisted lab desk student workers with issues, cooperated with lab desk students on scheduling accommodations and support
Check out and manage the plethora of IT department equipment based on appointments in SharePoint or open door policy
Performed room checks to test equipment and replace faulty campus property during the semester breaks
Set up purchased assets within classrooms for students while retiring and recycling older systems.
 Education
Bachelor of Science Information Science & Technology University of Wisconsin City , State | 12-2014 Information Science & Technology
AAS Waukesha County Technical College City , State
IT-Computer Support Specialist | 12 2011
Accomplishments
Â·UW-Waukesha Dean's List
Â·WCTC Honor List
Â·Who's Who Program â€“ WCTC
Â·NTHS Member 2010
Â·Phi Theta Kappa Honor Society
Â·BCHS Honor Roll
Skills
Active Directory, AD, asset management, automate, hardware, CSS, documentation, hard drives, Linux, Mac OS, Macintosh OS, director,
meetings, Microsoft Office, Windows 7, Microsoft Windows, Windows, Windows XP, network and support, Network & Support, network,
networking, operating systems, organizational, processes, programming, research, scheduling, supervision, phone, test equipment, troubleshooting,
tutoring, Vista
Additional Information
Able to document, effectively communicate, and succeed within a group setting in order to become a superior team player Willing to work
individually whilst prioritizing tasks or projects and completing assignments based on expected deadlines
HONORS/ACHIEVEMENTS ","Skills
Â·Able to research and familiarize skill sets towards core technologies
based on enthusiasm, dedication, and motivation Â·Skilled with troubleshooting hardware and software issues within a
Â·Knowledgeable with installation and configuration of Windows- network and support services environment
based operating systems (Windows XP, Vista, 7, and 8) Â·Able to document, effectively communicate, and succeed within a
Â·Experienced with the installation and configuration of Ubuntu Linux group setting in order to become a superior team player
whilst cognizant of Mac OS X interactions Willing to work individually whilst prioritizing tasks or projects and
Â·Proficient with virtualization and highly skilled with configurations completing assignments based on expected deadlines
inside of VMware
Work History
Company Name Support & Network Services Intern | City , State | September 2014 - December 2014
Customized and implemented Microsoft SCSM from SCCM in order to automate departmental organizational needs
Facilitated proper asset management and user onboarding processes tailored to the Student Affairs department
Worked with Network & Support Services team to learn more about the general campus and supported users
Attended regular meetings to coordinate and discover the expected outcomes and functions of Microsoft SCSM
Performed within a minimalized test environment in order to create runbook programming and custom templates
Shadowed student workers with incident management processes and workflows within Cherwell Service Management
Familiarized with ticket creation, priority, review, and remote desktop connections with respect to supported users
Imaged computers based on ImageNow software residing on the network and reflected changes in Active Directory
Discovered and learned AD DS, SCCM, and SCSM and interacted with the systems based on supervision
Assisted student workers with new computer installations and configurations as well as creating documentation
Alleviated phone call requests or questions for student workers based on working knowledge for ticket closure.
 ",0.47617695,0.353332417,0,0
19,BANKING OFFICER,"l BA in Economics with a
master's degree in Management and my current job as a Banking Officer has provided me with a well-rounded background and enabled me to
develop an analytical/logical approach to tasks, software skills, and the ability to work under pressure. Education
Master of Management : Business Management , 05/2017
Colorado State University - City , State
Bachelor of Arts : Applied Economics , 05/2013
National University of Kaohsiung - Taiwan
Work History
Banking Officer , 10/2018 to Current
Company Name â€“ City , State
Analyzed customer profiles to identify appropriate products and provide value-added approaches to client issues.
 ","Skills
Due diligence
Finance
Financial
NMLS # 1796859 Financial Analysis
Business development expertise Financial statements
Project Management Mandarin
Confluence, Jira, Salesforce, SQL Marketing
Sales professional Sstrategy
Financial Analysis Marketing
Strategic plans Market
Google G Suite, Keynote, Microsoft Office Marketing collateral
Technology-savvy Money
Accounting, Recruitment Microsoft Office
Banking, Sales Mortgage originator
Budget, SQL Newsletters
Business development, Strategic POS
Credit, Strategic plans Presentations
Client, Website Pricing strategy
Decision-making, Articles Producer
Documentation Project Management
Public relations
Purchasing
Real estate
Work History
Banking Officer , 10/2018 to Current
Company Name â€“ City , State
Analyzed customer profiles to identify appropriate products and provide value-added approaches to client issues.
Complied with regulatory requirements, including the bank Secrecy Act, Anti Money Laundering & OFAC, etc.
 ",0.3364925,0.366668751,0,0
20,HR MANAGER,"Education
Bachelor of Science : Business Management , 2009
University of Phoenix - San Jose Learning Center - City , State
Business Management
MBA : 2010
University of Phoenix - City , State
MBA : Human Resources , 2018
Notre Dame de Namur University - City , State
Human Resources
 ","Dedicated HR professional with strong grasp of employment laws, compliance issues and benefits plans. Skills
administrative, ADP, backup, Benefits, bookkeeping, clarify, competitive, customer service, database, delivery, documentation, employee
relations, filing, government, HR, human resources, human resource, insurance, job analysis, labor relations, law enforcement, Team building,
letters, market, meetings, mail, office, Payroll processing, payroll, personnel, policies, processes, Project management, proposal, quality, recruiting,
recruitment, safety, strategy, employee handbooks, vendor management, vendor management, vision, year-end
Work History
HR Manager , 06/2016 to Current
Company Name â€“ City , State
Developed and evolved the department's mission, workflows and structure while continuously developing and improving processes in an
ever-changing environment.
Implemented the company's first sourcing tracking system.
 Resolved employment-related disputes through proactive communication.
 Resolved employment-related disputes through proactive communication.
 Coordinated work activities of subordinates and staff relating to employment, compensation, labor relations and employee relations.
 Coordinated employment offers with management and extended offers to selected candidates.
 Conducted employment verifications and investigations.
 Processed unemployment claims and acted as the company representative at unemployment hearings.
 Conducted employment verifications and investigations.
 Completed employee employment verifications and unemployment paperwork in a timely manner.
 ",0.27558967,0.241296261,0,0.142857143
21,HR GENERALIST/RECRUITER,"Education
Masters of Administrative Science : June 2013 Fairleigh Dickinson University ï¼​ City , State
B.S : ","Experience
HR Generalist/Recruiter
January 2013 to January 2015 Company Name ï¼​ City , State
January 2013 to January 2014
Strategize with management on all recruitment needs (over departments) Co-authored all recruitment & transfers process to better the onboarding and applicant experience Maintained an accurate and detailed
record of each employee in a customized database for all pre-employment screening Interpret company policies and procedures to new
hires Provided mentoring and job coaching for temporary and permanent employees Negotiate/ analyzed compensation and make
recommendations for salaried and non-salaried employees Create metric reports for HR director as well as staffing reports for Clinical
Associate Director Coach and advise employees regarding HR programs, practices and procedures Plan, manage and communicate special
projects and programs such as employee recognition, wellness, benefits, recruiting and performance management, and employee surveys
Resolves employee concerns related to health and welfare plans functioning as liaison with various insurance carriers Collaboratively efforts
with Training and IT department to train and orientate all new hires within the organization.
 ",0.23462851,0,0,0
