,pdf_id,Job Title,Interviewee ID,Job Title applying to,Job Title Tokens,Aggregated Applying Job Title Tokens,Job Title Risk Factor
50,50,HIGHLY ACCOMPLISHED HEALTHCARE ANALYST,50,a dedicated medical support assistant a highly accomplished healthcare analyst executives the analyst's guidance,"['HIGHLY', 'ACCOMPLISHED', 'HEALTHCARE', 'ANALYST']","['a', 'dedicated', 'medical', 'support', 'assistant', 'a', 'highly', 'accomplished', 'healthcare', 'analyst', 'executives', 'the', ""analyst's"", 'guidance']",0.483315443
51,51,INFORMATION TECHNOLOGY SPECIALIST,51,an exceptional Information Technology Specialist,"['INFORMATION', 'TECHNOLOGY', 'SPECIALIST']","['an', 'exceptional', 'Information', 'Technology', 'Specialist']",0.271864231
52,52,CORPORATE ACCOUNTANT,52,,"['CORPORATE', 'ACCOUNTANT']",[],0
53,53,RECEIVING MANAGER,53,,"['RECEIVING', 'MANAGER']",[],0
54,54,ACCOUNTANT,54,the Finance Assistant's ability,['ACCOUNTANT'],"['the', 'Finance', ""Assistant's"", 'ability']",0.692443935
55,55,"MORTGAGE GROUP OPERATIONS MANAGER, BANKING OFFICER",55,mortgage loan officers mortgage loan officers,"['MORTGAGE', 'GROUP', 'OPERATIONS', 'MANAGER,', 'BANKING', 'OFFICER']","['mortgage', 'loan', 'officers', 'mortgage', 'loan', 'officers']",0.496608285
56,56,INFORMATION TECHNOLOGY SUPPORT SPECIALISTNETWORK SPECIALIST PC TECHNICIAN IT CONSULTANT,56,an HR Assistant Intern an exceptional Information Technology Support Specialist,"['INFORMATION', 'TECHNOLOGY', 'SUPPORT', 'SPECIALISTNETWORK', 'SPECIALIST', 'PC', 'TECHNICIAN', 'IT', 'CONSULTANT']","['an', 'HR', 'Assistant', 'Intern', 'an', 'exceptional', 'Information', 'Technology', 'Support', 'Specialist']",0.260807067
57,57,MANAGER,57,,['MANAGER'],[],0
58,58,HR DIRECTOR,58,,"['HR', 'DIRECTOR']",[],0
59,59,FITNESS DIRECTOR,59,personal trainers,"['FITNESS', 'DIRECTOR']","['personal', 'trainers']",0.632817861
60,60,OCCUPATIONAL THERAPIST,60,,"['OCCUPATIONAL', 'THERAPIST']",[],0
61,61,MAINTENANCE SPECIALIST/TECHNICIAN,61,a maintenance specialist,"['MAINTENANCE', 'SPECIALIST/TECHNICIAN']","['a', 'maintenance', 'specialist']",0.597361847
62,62,AIRCRAFT HYDRAULICS JOURNYMAN,62,,"['AIRCRAFT', 'HYDRAULICS', 'JOURNYMAN']",[],0
63,63,OVERNIGHT PHARMACY TECHNICIAN,63,this technician,"['OVERNIGHT', 'PHARMACY', 'TECHNICIAN']","['this', 'technician']",0.556370081
64,64,TRANSITIONAL HOUSING ADVOCATE,64,,"['TRANSITIONAL', 'HOUSING', 'ADVOCATE']",[],0
65,65,LICENSED UNITED HEALTHCARE INSURANCE SALES AGENT,65,a talented licensed United Healthcare insurance sales agent a certified personal trainer,"['LICENSED', 'UNITED', 'HEALTHCARE', 'INSURANCE', 'SALES', 'AGENT']","['a', 'talented', 'licensed', 'United', 'Healthcare', 'insurance', 'sales', 'agent', 'a', 'certified', 'personal', 'trainer']",0.353015474
66,66,ACCOUNTANT,66,,['ACCOUNTANT'],[],0
67,67,IT TECHNOLOGY SPECIALIST,67,an accomplished technology specialist an exceptional IT Technology Specialist,"['IT', 'TECHNOLOGY', 'SPECIALIST']","['an', 'accomplished', 'technology', 'specialist', 'an', 'exceptional', 'IT', 'Technology', 'Specialist']",0.230631373
68,68,SENIOR HR BUSINESS PARTNER,68,a dedicated Human Resources specialist,"['SENIOR', 'HR', 'BUSINESS', 'PARTNER']","['a', 'dedicated', 'Human', 'Resources', 'specialist']",0.262644527
69,69,CUSTOMER SERVICE REPRESENTATIVE,69,this representative,"['CUSTOMER', 'SERVICE', 'REPRESENTATIVE']","['this', 'representative']",0.475032559
70,70,LICENSED HEALTHCARE COMMUNICATOR,70,,"['LICENSED', 'HEALTHCARE', 'COMMUNICATOR']",[],0
71,71,HR COORDINATOR,71,international HR policies,"['HR', 'COORDINATOR']","['international', 'HR', 'policies']",0.213639225
72,72,FOOD SERVER,72,a crew trainer Crew Trainer a crew trainer,"['FOOD', 'SERVER']","['a', 'crew', 'trainer', 'Crew', 'Trainer', 'a', 'crew', 'trainer']",0.669414829
73,73,SERVICE REPRESENTATIVE,73,,"['SERVICE', 'REPRESENTATIVE']",[],0
74,74,INFORMATION TECHNOLOGY ADMINISTRATOR,74,,"['INFORMATION', 'TECHNOLOGY', 'ADMINISTRATOR']",[],0
75,75,GENERAL ACCOUNTANT,75,,"['GENERAL', 'ACCOUNTANT']",[],0
76,76,INFORMATION TECHNOLOGY COORDINATOR,76,,"['INFORMATION', 'TECHNOLOGY', 'COORDINATOR']",[],0
77,77,CLIENT ADVOCATE / ESCALATION SPECIALIST,77,an exceptional intern representatives,"['CLIENT', 'ADVOCATE', '/', 'ESCALATION', 'SPECIALIST']","['an', 'exceptional', 'intern', 'representatives']",0.283131259
78,78,GROUP FITNESS INSTRUCTOR,78,,"['GROUP', 'FITNESS', 'INSTRUCTOR']",[],0
79,79,DONOR ADVOCATE,79,an international children's choir an international tour an international choir,"['DONOR', 'ADVOCATE']","['an', 'international', ""children's"", 'choir', 'an', 'international', 'tour', 'an', 'international', 'choir']",0.366629221
80,80,CUSTOMER SUCCESS ADVOCATE,80,,"['CUSTOMER', 'SUCCESS', 'ADVOCATE']",[],0
81,81,GLOBAL IT PROJECT MANAGER,81,not just the internal systems the internal systems,"['GLOBAL', 'IT', 'PROJECT', 'MANAGER']","['not', 'just', 'the', 'internal', 'systems', 'the', 'internal', 'systems']",0.400702105
82,82,INFORMATION TECHNOLOGY COORDINATOR,82,executives an Information Technology Coordinator,"['INFORMATION', 'TECHNOLOGY', 'COORDINATOR']","['executives', 'an', 'Information', 'Technology', 'Coordinator']",0.359640243
83,83,MEDICAL RECORD TECHNICIAN,83,a supervisor,"['MEDICAL', 'RECORD', 'TECHNICIAN']","['a', 'supervisor']",0.467650999
84,84,"READING, SPEECH & LANGUAGE ARTS TEACHER",84,a yearbook advisor,"['READING,', 'SPEECH', '&', 'LANGUAGE', 'ARTS', 'TEACHER']","['a', 'yearbook', 'advisor']",0.309181266
85,86,ADMINISTRATIVE ASSISTANT,86,the administrative assistant,"['ADMINISTRATIVE', 'ASSISTANT']","['the', 'administrative', 'assistant']",0.552436924
86,87,CONSUMER ADVOCATE,87,an intern,"['CONSUMER', 'ADVOCATE']","['an', 'intern']",0.498026204
87,88,NIGHT SERVICE REPRESENTATIVE,88,Night Service Representative,"['NIGHT', 'SERVICE', 'REPRESENTATIVE']","['Night', 'Service', 'Representative']",0.656267274
88,89,DISABILITY ADVOCATE,89,,"['DISABILITY', 'ADVOCATE']",[],0
89,90,HR ASSISTANT/PAYROLL,90,the HR Assistant/Payroll professional the HR Assistant and Payroll professional,"['HR', 'ASSISTANT/PAYROLL']","['the', 'HR', 'Assistant/Payroll', 'professional', 'the', 'HR', 'Assistant', 'and', 'Payroll', 'professional']",0.413722321
90,92,ACCOUNTANT II,92,,"['ACCOUNTANT', 'II']",[],0
91,93,HR MANAGER,93,an HR Assistant and Payroll expert,"['HR', 'MANAGER']","['an', 'HR', 'Assistant', 'and', 'Payroll', 'expert']",0.233557119
92,94,PRACTICUM EXPERIENCE,94,nursing assistants,"['PRACTICUM', 'EXPERIENCE']","['nursing', 'assistants']",0.815478506
93,95,LINE SERVICE TECHNICIAN,95,,"['LINE', 'SERVICE', 'TECHNICIAN']",[],0
94,96,INFORMATION TECHNOLOGY MANAGER,96,a Trip Coordinator,"['INFORMATION', 'TECHNOLOGY', 'MANAGER']","['a', 'Trip', 'Coordinator']",0.313845035
95,97,DIRECTOR OF AVIATION AND SAFETY,97,,"['DIRECTOR', 'OF', 'AVIATION', 'AND', 'SAFETY']",[],0
96,98,FINANCE MANAGER,98,,"['FINANCE', 'MANAGER']",[],0
97,99,FINANCE ACCOUNTANT,99,auditors,"['FINANCE', 'ACCOUNTANT']",['auditors'],0.713645563
98,100,PRESIDENT/CHIEF EXECUTIVE OFFICER,100,,"['PRESIDENT/CHIEF', 'EXECUTIVE', 'OFFICER']",[],0
99,101,CHIEF EXECUTIVE OFFICER,101,a talented executive,"['CHIEF', 'EXECUTIVE', 'OFFICER']","['a', 'talented', 'executive']",0.555237525
100,102,ASSISTANT BANKING CENTER MANAGER,102,a small brokerage,"['ASSISTANT', 'BANKING', 'CENTER', 'MANAGER']","['a', 'small', 'brokerage']",0.41380513
101,103,ACCOUNTANT,103,,['ACCOUNTANT'],[],0
102,104,BILINGUAL DOMESTIC VIOLENCE ADVOCATE,104,a geology researcher,"['BILINGUAL', 'DOMESTIC', 'VIOLENCE', 'ADVOCATE']","['a', 'geology', 'researcher']",0.502741507
103,105,PREVENTATIVE HEALTHCARE INTERN,105,an outstanding preventive healthcare intern,"['PREVENTATIVE', 'HEALTHCARE', 'INTERN']","['an', 'outstanding', 'preventive', 'healthcare', 'intern']",0.334076806
104,106,FINANCE DIRECTOR AND TREASURER,106,,"['FINANCE', 'DIRECTOR', 'AND', 'TREASURER']",[],0
105,107,FINANCE OFFICER,107,,"['FINANCE', 'OFFICER']",[],0
106,108,"PERSONAL TRAINER, GROUP FITNESS INSTRUCTOR",108,the personal trainer,"['PERSONAL', 'TRAINER,', 'GROUP', 'FITNESS', 'INSTRUCTOR']","['the', 'personal', 'trainer']",0.516911686
107,109,PRINCIPAL ACCOUNTANT,109,auditors auditors the system administrator's technical expertise,"['PRINCIPAL', 'ACCOUNTANT']","['auditors', 'auditors', 'the', 'system', ""administrator's"", 'technical', 'expertise']",0.784980922
108,110,PROJECT MANAGER,110,,"['PROJECT', 'MANAGER']",[],0
109,111,HOSPITAL & PHYSICIAN BILLING SPECIALIST,111,the billing specialist a highly skilled hospital and physician billing specialist a dedicated healthcare technician a Hospital and Physician Billing Specialist,"['HOSPITAL', '&', 'PHYSICIAN', 'BILLING', 'SPECIALIST']","['the', 'billing', 'specialist', 'a', 'highly', 'skilled', 'hospital', 'and', 'physician', 'billing', 'specialist', 'a', 'dedicated', 'healthcare', 'technician', 'a', 'Hospital', 'and', 'Physician', 'Billing', 'Specialist']",0.351142919
110,112,COLLEGE ASSISTANT,112,,"['COLLEGE', 'ASSISTANT']",[],0
111,113,FINANCIAL ACCOUNTANT,113,an experienced personal trainer,"['FINANCIAL', 'ACCOUNTANT']","['an', 'experienced', 'personal', 'trainer']",0.647871038
112,114,SENIOR VP - INFORMATION TECHNOLOGY,114,,"['SENIOR', 'VP', '-', 'INFORMATION', 'TECHNOLOGY']",[],0
113,115,BRANCH LOGISTICS MANAGER,115,international manufacturing a certified personal trainer a remarkable nursing executive,"['BRANCH', 'LOGISTICS', 'MANAGER']","['international', 'manufacturing', 'a', 'certified', 'personal', 'trainer', 'a', 'remarkable', 'nursing', 'executive']",0.543057758
114,116,HR ASSISTANT,116,the Finance Officer's wealth an experienced HR Representative,"['HR', 'ASSISTANT']","['the', 'Finance', ""Officer's"", 'wealth', 'an', 'experienced', 'HR', 'Representative']",0.311688745
115,117,ASP.NET WEB DEVELOPER,117,an exceptional ASP.NET Web Developer this developer,"['ASP.NET', 'WEB', 'DEVELOPER']","['an', 'exceptional', 'ASP.NET', 'Web', 'Developer', 'this', 'developer']",0.68996102
116,118,LEAD ADMINISTRATOR,118,an arts administrator the lead administrator,"['LEAD', 'ADMINISTRATOR']","['an', 'arts', 'administrator', 'the', 'lead', 'administrator']",0.502875426
117,119,TERRITORY HR MANAGER,119,,"['TERRITORY', 'HR', 'MANAGER']",[],0
118,120,AVIATION SUPPLY TECHNICIAN,120,an operator,"['AVIATION', 'SUPPLY', 'TECHNICIAN']","['an', 'operator']",0.533012346
119,121,SYSTEM ADMINISTRATOR,121,LAN/WAN architectures,"['SYSTEM', 'ADMINISTRATOR']","['LAN/WAN', 'architectures']",0.722445738
120,122,ACCOUNTANT,122,,['ACCOUNTANT'],[],0
121,123,BUSINESS BANKING SPECIALIST,123,,"['BUSINESS', 'BANKING', 'SPECIALIST']",[],0
122,124,AS,124,,['AS'],[],0
123,125,VICE PRESIDENT,125,,"['VICE', 'PRESIDENT']",[],0
124,126,VOLUNTEER ADVOCATE,126,,"['VOLUNTEER', 'ADVOCATE']",[],0
125,127,ACCOUNTANT,127,internal teams,['ACCOUNTANT'],"['internal', 'teams']",0.501778578
126,128,ACCOUNT RECEIVABLE,128,a dedicated Account Receivable specialist internal processes the account receivable specialist,"['ACCOUNT', 'RECEIVABLE']","['a', 'dedicated', 'Account', 'Receivable', 'specialist', 'internal', 'processes', 'the', 'account', 'receivable', 'specialist']",0.75781555
127,129,SENIOR EXECUTIVE - FINANCE,129,the financial executive's skills international markets,"['SENIOR', 'EXECUTIVE', '-', 'FINANCE']","['the', 'financial', ""executive's"", 'skills', 'international', 'markets']",0.302744238
128,130,PROFESSIONAL HEALTHCARE REPRESENTATIVE,130,a dedicated healthcare representative,"['PROFESSIONAL', 'HEALTHCARE', 'REPRESENTATIVE']","['a', 'dedicated', 'healthcare', 'representative']",0.445172133
129,131,SENIOR HR MANAGER,131,,"['SENIOR', 'HR', 'MANAGER']",[],0
130,133,OPERATION MANAGER,133,an experienced Air Freight Agent,"['OPERATION', 'MANAGER']","['an', 'experienced', 'Air', 'Freight', 'Agent']",0.623618913
131,134,DOMESTIC VIOLENCE AND SEXUAL ASSAULT ADVOCATE,134,,"['DOMESTIC', 'VIOLENCE', 'AND', 'SEXUAL', 'ASSAULT', 'ADVOCATE']",[],0
132,135,CHIEF OPERATING OFFICER,135,the aspiring intern,"['CHIEF', 'OPERATING', 'OFFICER']","['the', 'aspiring', 'intern']",0.660140619
133,136,HR CONSULTING,136,,"['HR', 'CONSULTING']",[],0
134,137,ACCOUNTANT,137,the Chief Financial Officer certification the Chief Financial Officer certification,['ACCOUNTANT'],"['the', 'Chief', 'Financial', 'Officer', 'certification', 'the', 'Chief', 'Financial', 'Officer', 'certification']",0.617957639
135,138,INTERNSHIP,138,an intern their internship her internship their internship their internship an internship,['INTERNSHIP'],"['an', 'intern', 'their', 'internship', 'her', 'internship', 'their', 'internship', 'their', 'internship', 'an', 'internship']",0.724650361
136,139,HR CONSULTANT,139,,"['HR', 'CONSULTANT']",[],0
137,140,SECRETARY - FINANCE DIVISION,140,,"['SECRETARY', '-', 'FINANCE', 'DIVISION']",[],0
138,142,HR REPRESENTATIVE,142,a highly skilled HR representative,"['HR', 'REPRESENTATIVE']","['a', 'highly', 'skilled', 'HR', 'representative']",0.32477861
139,143,FINANCE MANAGER,143,financial analysts auditors a finance and accounting specialist,"['FINANCE', 'MANAGER']","['financial', 'analysts', 'auditors', 'a', 'finance', 'and', 'accounting', 'specialist']",0.34799778
140,144,CREATIVE DIRECTOR,144,a Landscape Technician Data Analyst aspiring interns,"['CREATIVE', 'DIRECTOR']","['a', 'Landscape', 'Technician', 'Data', 'Analyst', 'aspiring', 'interns']",0.571027468
141,145,LICENSED UNITED HEALTHCARE INSURANCE SALES AGENT,145,a talented licensed insurance sales agent,"['LICENSED', 'UNITED', 'HEALTHCARE', 'INSURANCE', 'SALES', 'AGENT']","['a', 'talented', 'licensed', 'insurance', 'sales', 'agent']",0.387149162
142,146,OPERATIONS MANAGER,146,,"['OPERATIONS', 'MANAGER']",[],0
143,147,FINANCE CONTROLLER,147,Finance Controller spanned over a decade,"['FINANCE', 'CONTROLLER']","['Finance', 'Controller', 'spanned', 'over', 'a', 'decade']",0.555023886
144,148,CNA IN SKILLED HEALTHCARE,148,a dedicated home healthcare technician,"['CNA', 'IN', 'SKILLED', 'HEALTHCARE']","['a', 'dedicated', 'home', 'healthcare', 'technician']",0.453557214
145,149,HR REPRESENTATIVE,149,union representatives internal communication an HR representative,"['HR', 'REPRESENTATIVE']","['union', 'representatives', 'internal', 'communication', 'an', 'HR', 'representative']",0.345766771
146,150,DIRECTOR OF APPLICATIONS,150,,"['DIRECTOR', 'OF', 'APPLICATIONS']",[],0
147,151,MICHAEL'S ARTS AND CRAFTS STORE,151,,"[""MICHAEL'S"", 'ARTS', 'AND', 'CRAFTS', 'STORE']",[],0
148,152,ACCOUNTANT,152,,['ACCOUNTANT'],[],0
149,153,FINANCE ANALYST,153,a Finance Analyst's capabilities a remarkable finance analyst a talented finance analyst,"['FINANCE', 'ANALYST']","['a', 'Finance', ""Analyst's"", 'capabilities', 'a', 'remarkable', 'finance', 'analyst', 'a', 'talented', 'finance', 'analyst']",0.415733701
150,154,ACCOUNTANT,154,,['ACCOUNTANT'],[],0
151,155,SALE CONSULTANT,155,,"['SALE', 'CONSULTANT']",[],0
152,156,FINANCE DIRECTOR,156,various executives,"['FINANCE', 'DIRECTOR']","['various', 'executives']",0.587579344
153,157,TALENTED ARTS PROGRAM INSTRUCTIONAL COORDINATOR,157,a talented arts program instructional coordinator a talented arts program instructional coordinator,"['TALENTED', 'ARTS', 'PROGRAM', 'INSTRUCTIONAL', 'COORDINATOR']","['a', 'talented', 'arts', 'program', 'instructional', 'coordinator', 'a', 'talented', 'arts', 'program', 'instructional', 'coordinator']",0.422800441
154,158,CUSTOMER SERVICE ADVOCATE II,158,,"['CUSTOMER', 'SERVICE', 'ADVOCATE', 'II']",[],0
155,159,VISUAL ARTS TEACHER,159,,"['VISUAL', 'ARTS', 'TEACHER']",[],0
156,160,BANKING,160,the financial intern's analytical groundwork,['BANKING'],"['the', 'financial', ""intern's"", 'analytical', 'groundwork']",0.543674946
157,161,FAMILY AND COMMUNITY ADVOCATE,161,,"['FAMILY', 'AND', 'COMMUNITY', 'ADVOCATE']",[],0
158,162,SENIOR SPECIALTY SALES REPRESENTATIVE,162,a seasoned Bio-pharmaceutical Sales Representative Senior Vice-President and Chief Information Officer an exceptional sales representative,"['SENIOR', 'SPECIALTY', 'SALES', 'REPRESENTATIVE']","['a', 'seasoned', 'Bio-pharmaceutical', 'Sales', 'Representative', 'Senior', 'Vice-President', 'and', 'Chief', 'Information', 'Officer', 'an', 'exceptional', 'sales', 'representative']",0.363010814
159,163,CERTIFIED CUSTOM FRAMER,163,,"['CERTIFIED', 'CUSTOM', 'FRAMER']",[],0
160,164,RETAIL BANKING DIRECTOR,164,,"['RETAIL', 'BANKING', 'DIRECTOR']",[],0
161,165,KEY ACCOUNT MANAGER,165,a medical support assistant C-Suite executives a seasoned supervisor C-suite executives,"['KEY', 'ACCOUNT', 'MANAGER']","['a', 'medical', 'support', 'assistant', 'C-Suite', 'executives', 'a', 'seasoned', 'supervisor', 'C-suite', 'executives']",0.552235527
162,166,MEDICAL BILLING SPECIALIST,166,senior executives,"['MEDICAL', 'BILLING', 'SPECIALIST']","['senior', 'executives']",0.647179166
163,167,INSTRUCTIONAL COACH,167,,"['INSTRUCTIONAL', 'COACH']",[],0
164,168,AVIATION ELECTRONICS TECHNICIAN,168,,"['AVIATION', 'ELECTRONICS', 'TECHNICIAN']",[],0
165,169,INFORMATION TECHNOLOGY MANAGER / NETWORK ENGINEER,169,,"['INFORMATION', 'TECHNOLOGY', 'MANAGER', '/', 'NETWORK', 'ENGINEER']",[],0
166,170,SENIOR MEMBER ADVOCATE,170,,"['SENIOR', 'MEMBER', 'ADVOCATE']",[],0
167,171,WAREHOUSE LEAD,171,,"['WAREHOUSE', 'LEAD']",[],0
168,172,HR ASSISTANT,172,,"['HR', 'ASSISTANT']",[],0
169,173,ENGLISH LANGUAGE ARTS TEACHER,173,their advisory role,"['ENGLISH', 'LANGUAGE', 'ARTS', 'TEACHER']","['their', 'advisory', 'role']",0.448137173
170,174,FINANCE COORDINATOR,174,,"['FINANCE', 'COORDINATOR']",[],0
171,175,BANKING,175,a skilled inside sales representative my internship,['BANKING'],"['a', 'skilled', 'inside', 'sales', 'representative', 'my', 'internship']",0.447184315
172,176,BENEFIT ADVOCATE SUPERVISOR,176,Benefit Advocate Supervisor licensed insurance agents,"['BENEFIT', 'ADVOCATE', 'SUPERVISOR']","['Benefit', 'Advocate', 'Supervisor', 'licensed', 'insurance', 'agents']",0.48088108
173,177,SALES & SERVICE ASSOCIATE,177,,"['SALES', '&', 'SERVICE', 'ASSOCIATE']",[],0
