id,Fraud,dominant_factor,fraud_reason
511,True,superlative_score,The profile with ID 511 is flagged as fraud due to excessive use of superlative terms in their recommendation letters. This may indicate an attempt to exaggerate qualifications or achievements.
522,True,reciprocity_score,The profile with ID 522 is flagged as fraud due to reciprocal recommendations with ID 495. Such patterns often indicate coordinated efforts to falsely boost credibility.
527,True,superlative_score,The profile with ID 527 is flagged as fraud due to excessive use of superlative terms in their recommendation letters. This may indicate an attempt to exaggerate qualifications or achievements.
529,True,superlative_score,The profile with ID 529 is flagged as fraud due to excessive use of superlative terms in their recommendation letters. This may indicate an attempt to exaggerate qualifications or achievements.
553,True,reciprocity_score,The profile with ID 553 is flagged as fraud due to reciprocal recommendations with ID 128. Such patterns often indicate coordinated efforts to falsely boost credibility.
566,True,superlative_score,The profile with ID 566 is flagged as fraud due to excessive use of superlative terms in their recommendation letters. This may indicate an attempt to exaggerate qualifications or achievements.
579,True,reciprocity_score,The profile with ID 579 is flagged as fraud due to reciprocal recommendations with ID 767. Such patterns often indicate coordinated efforts to falsely boost credibility.
593,True,reciprocity_score,The profile with ID 593 is flagged as fraud due to reciprocal recommendations with ID 223. Such patterns often indicate coordinated efforts to falsely boost credibility.
596,True,reciprocity_score,The profile with ID 596 is flagged as fraud due to reciprocal recommendations with ID 990. Such patterns often indicate coordinated efforts to falsely boost credibility.
661,True,reciprocity_score,The profile with ID 661 is flagged as fraud due to reciprocal recommendations with ID 571. Such patterns often indicate coordinated efforts to falsely boost credibility.
663,True,reciprocity_score,The profile with ID 663 is flagged as fraud due to reciprocal recommendations with ID 324. Such patterns often indicate coordinated efforts to falsely boost credibility.
678,True,text_inconsistency_score,The profile with ID 678 is flagged as fraud due to inconsistencies in the text of their recommendation letters. This may indicate conflicting information or an attempt to mislead.
735,True,reciprocity_score,The profile with ID 735 is flagged as fraud due to reciprocal recommendations with ID 279. Such patterns often indicate coordinated efforts to falsely boost credibility.
745,True,reciprocity_score,The profile with ID 745 is flagged as fraud due to reciprocal recommendations with ID 706. Such patterns often indicate coordinated efforts to falsely boost credibility.
762,True,superlative_score,The profile with ID 762 is flagged as fraud due to excessive use of superlative terms in their recommendation letters. This may indicate an attempt to exaggerate qualifications or achievements.
788,True,text_inconsistency_score,The profile with ID 788 is flagged as fraud due to inconsistencies in the text of their recommendation letters. This may indicate conflicting information or an attempt to mislead.
803,True,text_inconsistency_score,The profile with ID 803 is flagged as fraud due to inconsistencies in the text of their recommendation letters. This may indicate conflicting information or an attempt to mislead.
807,True,reciprocity_score,The profile with ID 807 is flagged as fraud due to reciprocal recommendations with ID 372. Such patterns often indicate coordinated efforts to falsely boost credibility.
813,True,reciprocity_score,The profile with ID 813 is flagged as fraud due to reciprocal recommendations with ID 168. Such patterns often indicate coordinated efforts to falsely boost credibility.
827,True,superlative_score,The profile with ID 827 is flagged as fraud due to excessive use of superlative terms in their recommendation letters. This may indicate an attempt to exaggerate qualifications or achievements.
847,True,reciprocity_score,The profile with ID 847 is flagged as fraud due to reciprocal recommendations with ID 397. Such patterns often indicate coordinated efforts to falsely boost credibility.
878,True,superlative_score,The profile with ID 878 is flagged as fraud due to excessive use of superlative terms in their recommendation letters. This may indicate an attempt to exaggerate qualifications or achievements.
883,True,reciprocity_score,The profile with ID 883 is flagged as fraud due to reciprocal recommendations with ID 337. Such patterns often indicate coordinated efforts to falsely boost credibility.
889,True,reciprocity_score,The profile with ID 889 is flagged as fraud due to reciprocal recommendations with ID 909. Such patterns often indicate coordinated efforts to falsely boost credibility.
898,True,superlative_score,The profile with ID 898 is flagged as fraud due to excessive use of superlative terms in their recommendation letters. This may indicate an attempt to exaggerate qualifications or achievements.
903,True,text_inconsistency_score,The profile with ID 903 is flagged as fraud due to inconsistencies in the text of their recommendation letters. This may indicate conflicting information or an attempt to mislead.
905,True,reciprocity_score,The profile with ID 905 is flagged as fraud due to reciprocal recommendations with ID 450. Such patterns often indicate coordinated efforts to falsely boost credibility.
909,True,reciprocity_score,The profile with ID 909 is flagged as fraud due to reciprocal recommendations with ID 889. Such patterns often indicate coordinated efforts to falsely boost credibility.
911,True,reciprocity_score,The profile with ID 911 is flagged as fraud due to reciprocal recommendations with ID 649. Such patterns often indicate coordinated efforts to falsely boost credibility.
935,True,reciprocity_score,The profile with ID 935 is flagged as fraud due to reciprocal recommendations with ID 625. Such patterns often indicate coordinated efforts to falsely boost credibility.
940,True,text_inconsistency_score,The profile with ID 940 is flagged as fraud due to inconsistencies in the text of their recommendation letters. This may indicate conflicting information or an attempt to mislead.
961,True,reciprocity_score,The profile with ID 961 is flagged as fraud due to reciprocal recommendations with ID 41. Such patterns often indicate coordinated efforts to falsely boost credibility.
970,True,reciprocity_score,The profile with ID 970 is flagged as fraud due to reciprocal recommendations with ID 11. Such patterns often indicate coordinated efforts to falsely boost credibility.
973,True,reciprocity_score,The profile with ID 973 is flagged as fraud due to reciprocal recommendations with ID 704. Such patterns often indicate coordinated efforts to falsely boost credibility.
982,True,text_inconsistency_score,The profile with ID 982 is flagged as fraud due to inconsistencies in the text of their recommendation letters. This may indicate conflicting information or an attempt to mislead.
990,True,reciprocity_score,The profile with ID 990 is flagged as fraud due to reciprocal recommendations with ID 596. Such patterns often indicate coordinated efforts to falsely boost credibility.
999,True,superlative_score,The profile with ID 999 is flagged as fraud due to excessive use of superlative terms in their recommendation letters. This may indicate an attempt to exaggerate qualifications or achievements.
